ID,School,Count,Grade
186,31,26,2
187,43,21,9
188,20,10,2
189,46,37,2
190,90,48,5
191,8,12,2
192,85,30,9
193,83,46,5
194,51,14,3
195,44,11,6
196,82,18,12
197,64,33,7
198,72,49,5
199,77,41,5
200,24,36,9
201,100,33,8
202,74,41,4
203,30,27,4
204,34,11,7
205,37,11,10
206,87,16,9
207,37,46,12
208,94,13,5
209,9,19,3
210,86,28,11
211,58,49,5
212,40,26,1
213,95,21,6
214,51,18,9
215,16,38,2
216,3,21,8
217,87,46,4
218,87,27,8
219,38,41,8
220,63,43,8
221,61,37,1
222,2,29,6
223,91,42,9
224,76,27,11
225,25,20,11
226,34,43,6
227,15,36,12
228,62,26,2
229,58,46,9
230,7,38,3
231,84,10,11
232,26,14,6
233,9,40,5
234,71,50,1
235,49,40,2
236,20,35,4
237,55,43,3
238,46,43,7
239,8,13,10
240,16,30,4
241,51,31,4
242,14,23,12
243,60,37,8
244,65,48,5
245,95,20,7
246,45,23,9
247,97,43,10
248,89,14,5
249,58,45,1
250,23,30,10
251,10,49,12
252,7,38,2
253,2,27,10
254,6,48,9
255,90,27,10
256,94,23,1
257,77,29,2
258,38,36,2
259,80,18,5
260,26,15,5
261,54,27,12
262,19,29,4
263,14,45,12
264,24,16,7
265,39,42,3
266,37,24,4
267,90,17,2
268,89,36,1
269,16,15,6
270,10,43,6
271,89,38,12
272,2,13,2
273,13,46,1
274,73,28,6
275,56,49,10
276,54,10,11
277,15,48,6
278,35,46,11
279,11,39,4
280,16,24,1
281,41,21,3
282,15,36,3
283,60,37,12
284,27,47,6
285,40,29,6
286,41,49,4
287,74,30,7
288,1,33,2
289,29,18,5
290,80,38,2
291,6,23,9
292,93,43,4
293,36,30,9
294,75,33,5
295,74,49,3
296,88,32,4
297,61,23,9
298,30,36,12
299,38,23,12
300,19,25,10
301,97,22,4
302,43,31,5
303,77,24,2
304,26,15,6
305,83,16,11
306,17,35,9
307,45,10,4
308,16,18,6
309,34,39,6
310,81,34,3
311,24,17,3
312,7,10,1
313,9,36,7
314,87,48,12
315,53,26,3
316,24,46,3
317,75,16,12
318,13,47,6
319,57,25,8
320,86,10,7
321,66,21,2
322,91,34,4
323,69,23,5
324,63,37,1
325,2,25,7
326,8,42,1
327,57,24,4
328,27,22,9
329,50,32,1
330,9,35,8
331,93,10,7
332,35,33,1
333,46,22,5
334,29,40,6
335,5,37,3
336,83,45,1
337,84,34,3
338,54,49,9
339,60,34,7
340,75,31,2
341,86,18,3
342,23,44,6
343,25,13,11
344,64,19,8
345,59,41,4
346,11,23,8
347,22,49,10
348,27,34,5
349,86,50,5
350,43,31,9
351,56,44,8
352,53,42,11
353,36,23,3
354,41,50,3
355,42,19,5
356,5,29,8
357,62,10,7
358,56,36,3
359,65,11,1
360,21,23,9
361,37,18,1
362,30,28,12
363,100,40,9
364,83,31,8
365,93,10,9
366,77,31,4
367,15,16,3
368,53,22,6
369,56,50,1
370,79,22,3
371,12,41,4
372,72,46,3
373,53,20,9
374,61,13,9
375,8,32,12
376,68,20,6
377,35,13,8
378,11,28,2
379,60,24,5
380,78,12,12
381,60,45,2
382,17,48,8
383,17,41,1
384,88,39,10
385,99,17,9
386,76,33,11
387,72,14,7
388,90,45,12
389,64,47,9
390,43,49,2
391,96,45,10
392,19,20,4
393,45,24,5
394,63,38,6
395,19,47,6
396,13,48,9
397,55,36,4
398,60,31,2
399,30,28,10
400,29,39,10
401,52,12,3
402,67,41,1
403,77,40,2
404,86,42,5
405,5,25,12
406,64,32,5
407,1,28,1
408,87,25,8
409,12,43,1
410,24,36,12
411,79,29,1
412,20,49,11
413,14,30,2
414,7,50,5
415,56,46,9
416,45,46,5
417,40,19,12
418,27,36,7
419,71,38,9
420,20,37,8
421,68,45,5
422,49,38,11
423,94,14,8
424,66,14,1
425,93,39,5
426,83,34,11
427,5,20,8
428,36,26,4
429,94,36,7
430,15,13,4
431,96,50,3
432,5,38,3
433,59,32,9
434,69,21,9
435,100,23,3
436,45,26,2
437,88,21,4
438,35,41,7
439,80,33,5
440,17,18,10
441,70,50,12
442,59,39,5
443,16,34,4
444,10,43,1
445,34,18,4
446,65,39,7
447,66,41,4
448,48,28,12
449,71,21,3
450,43,24,4
451,89,47,9
452,69,32,11
453,39,45,6
454,29,46,5
455,18,25,2
456,78,13,4
457,69,39,3
458,49,49,8
459,46,40,5
460,16,42,9
461,8,10,9
462,67,24,10
463,78,35,6
464,76,11,7
465,35,32,5
466,97,11,10
467,29,32,10
468,37,25,11
469,36,50,5
470,10,21,9
471,43,34,5
472,67,17,3
473,2,19,3
474,65,11,8
475,3,17,3
476,31,38,6
477,77,42,9
478,54,42,1
479,100,37,2
480,62,21,8
481,15,37,1
482,46,10,11
483,42,20,4
484,97,45,6
485,25,10,6
486,85,26,9
487,25,42,7
488,21,23,1
489,95,25,3
490,12,10,10
491,99,43,12
492,26,34,2
493,71,29,2
494,9,49,7
495,19,33,9
496,3,24,4
497,3,27,8
498,20,50,10
499,72,15,6
500,30,37,9
501,19,20,11
502,4,30,1
503,16,49,2
504,16,17,2
505,77,24,12
506,24,30,8
507,64,22,6
508,55,34,7
509,37,47,4
510,27,32,5
511,47,11,3
512,9,19,2
513,62,49,3
514,75,47,4
515,25,12,6
516,60,31,11
517,52,27,8
518,7,50,2
519,70,43,3
520,13,15,5
521,44,49,11
522,95,50,12
523,70,49,6
524,75,41,7
525,13,15,10
526,15,25,4
527,57,45,7
528,100,37,7
529,28,26,5
530,91,33,4
531,23,37,6
532,34,25,8
533,71,46,5
534,31,40,6
535,58,48,2
536,24,20,10
537,19,39,9
538,39,12,11
539,96,14,11
540,51,15,12
541,97,18,6
542,24,22,8
543,27,19,6
544,58,42,12
545,57,27,9
546,75,12,3
547,33,31,10
548,44,43,1
549,60,34,8
550,82,19,1
551,26,45,9
552,75,31,12
553,97,39,5
554,32,30,8
555,43,19,7
556,91,18,11
557,28,27,8
558,46,30,2
559,100,13,7
560,61,27,2
561,24,38,7
562,10,10,11
563,17,11,10
564,78,49,8
565,22,27,6
566,18,35,11
567,100,39,3
568,41,11,5
569,7,44,2
570,69,42,3
571,59,29,2
572,47,39,1
573,58,22,9
574,5,14,7
575,79,22,5
576,70,27,11
577,5,47,5
578,59,28,12
579,5,38,1
580,6,29,10
581,6,23,10
582,42,20,8
583,59,18,11
584,6,30,10
585,69,20,2
586,37,20,8
587,68,33,1
588,27,43,9
589,24,14,8
590,7,34,6
591,27,25,10
592,67,16,10
593,50,50,7
594,47,22,5
595,68,27,6
596,94,15,11
597,69,12,10
598,25,42,10
599,25,18,11
600,33,20,11
601,66,11,11
602,33,20,4
603,81,12,7
604,10,20,12
605,55,22,12
606,93,24,10
607,100,34,2
608,47,40,5
609,39,28,12
610,98,49,6
611,95,39,7
612,42,11,2
613,74,43,4
614,29,35,5
615,81,45,7
616,63,44,9
617,67,23,12
618,64,36,4
619,2,34,1
620,76,12,5
621,65,10,7
622,66,31,3
623,99,16,1
624,95,12,10
625,61,17,10
626,47,31,8
627,50,41,6
628,63,45,11
629,68,28,3
630,52,20,2
631,50,10,10
632,17,12,6
633,52,47,5
634,91,18,11
635,35,50,1
636,43,41,8
637,85,32,1
638,63,11,5
639,84,14,9
640,25,49,10
641,22,41,6
642,42,40,5
643,83,44,7
644,13,40,5
645,96,48,5
646,59,45,8
647,94,50,8
648,97,21,9
649,73,49,1
650,68,12,5
651,92,19,4
652,24,35,11
653,32,45,10
654,69,18,10
655,6,28,1
656,79,48,7
657,56,49,4
658,28,49,2
659,27,39,9
660,2,34,11
661,32,13,7
662,84,42,2
663,92,34,9
664,43,28,11
665,26,19,7
666,39,33,1
667,45,12,1
668,35,10,12
669,5,10,5
670,79,15,4
671,90,48,12
672,55,18,5
673,27,15,12
674,56,12,11
675,84,29,6
676,17,30,3
677,33,38,9
678,74,32,9
679,42,11,12
680,30,15,5
681,30,12,11
682,11,19,1
683,69,12,12
684,95,36,6
685,42,38,4
686,14,26,10
687,21,19,1
688,55,33,9
689,35,40,1
690,79,47,6
691,45,41,4
692,64,50,2
693,96,26,7
694,19,23,2
695,7,12,4
696,76,30,12
697,10,12,1
698,44,47,9
699,72,16,1
700,87,10,8
701,78,12,1
702,40,36,12
703,25,27,11
704,71,41,8
705,75,25,1
706,61,27,1
707,51,30,6
708,21,27,5
709,61,39,6
710,8,24,7
711,44,22,10
712,94,41,2
713,38,30,4
714,22,43,9
715,16,44,7
716,84,43,12
717,56,20,12
718,72,41,7
719,50,33,1
720,64,27,11
721,42,23,3
722,41,36,2
723,78,47,6
724,52,13,5
725,6,48,4
726,68,23,4
727,39,20,12
728,22,42,5
729,84,23,4
730,13,15,11
731,84,26,5
732,54,38,12
733,15,30,3
734,83,34,9
735,49,17,8
736,72,33,12
737,50,24,11
738,44,15,9
739,77,37,4
740,76,37,7
741,34,29,9
742,85,14,11
743,48,18,1
744,43,34,7
745,9,33,9
746,42,33,3
747,45,39,5
748,73,19,10
749,70,50,7
750,83,16,1
751,60,34,12
752,76,18,9
753,98,38,11
754,77,49,5
755,90,20,8
756,84,33,5
757,69,18,7
758,27,20,5
759,32,16,11
760,87,26,8
761,47,11,12
762,34,41,4
763,36,49,9
764,57,31,7
765,49,49,2
766,13,39,12
767,18,47,10
768,76,16,8
769,40,34,5
770,94,40,8
771,85,33,11
772,63,36,12
773,62,36,6
774,100,39,8
775,16,49,8
776,25,18,5
777,69,24,1
778,75,38,1
779,33,29,2
780,55,13,6
781,82,23,7
782,50,15,9
783,31,35,1
784,31,15,4
785,88,21,7
786,36,49,2
787,74,45,10
788,76,36,2
789,44,16,1
790,71,31,9
791,67,50,8
792,51,27,4
793,31,21,7
794,31,13,10
795,81,42,1
796,91,46,8
797,39,30,3
798,99,27,3
799,21,48,2
800,20,46,2
801,65,36,9
802,97,20,9
803,12,48,9
804,39,15,2
805,24,40,4
806,31,46,9
807,61,30,4
808,39,42,1
809,11,48,5
810,16,32,7
811,19,38,3
812,24,35,2
813,46,14,10
814,13,47,1
815,33,10,6
816,33,34,1
817,48,22,12
818,26,16,8
819,68,29,3
820,96,29,6
821,14,31,3
822,62,49,10
823,85,12,9
824,75,42,11
825,42,14,12
826,83,24,4
827,67,25,9
828,70,15,4
829,28,21,2
830,92,40,4
831,93,28,8
832,22,22,7
833,27,40,11
834,89,34,12
835,79,14,5
836,17,45,12
837,61,42,5
838,66,21,4
839,100,20,2
840,2,17,5
841,22,37,12
842,52,26,4
843,29,47,6
844,32,25,2
845,53,20,1
846,84,13,8
847,70,16,3
848,10,21,11
849,44,42,9
850,29,45,5
851,10,30,7
852,53,21,8
853,5,25,12
854,48,18,6
855,56,37,7
856,70,47,11
857,70,37,8
858,96,13,11
859,11,21,3
860,29,29,8
861,58,46,9
862,46,25,7
863,44,49,2
864,4,10,9
865,36,10,5
866,94,44,1
867,99,17,7
868,23,15,9
869,25,14,7
870,58,28,4
871,94,20,11
872,8,25,3
873,46,22,8
874,4,40,8
875,29,48,6
876,61,44,7
877,57,19,10
878,75,13,9
879,22,45,4
880,43,24,2
881,92,32,2
882,82,14,6
883,57,37,7
884,70,46,10
885,44,26,2
886,92,11,1
887,87,22,1
888,19,41,7
889,68,35,3
890,68,42,8
891,83,25,4
892,96,14,8
893,42,16,5
894,19,13,9
895,65,27,3
896,35,22,5
897,23,18,5
898,16,24,5
899,57,15,10
900,26,30,2
901,70,50,8
902,24,12,11
903,15,48,8
904,65,29,12
905,74,38,1
906,35,50,8
907,91,12,9
908,95,29,1
909,16,12,11
910,91,17,10
911,17,21,5
912,18,17,3
913,15,34,4
914,47,18,3
915,35,42,11
916,81,22,10
917,91,36,10
918,96,49,5
919,66,48,12
920,70,23,1
921,87,22,7
922,78,44,5
923,39,35,12
924,5,48,8
925,10,23,7
926,52,36,10
927,62,17,1
928,77,24,12
929,75,43,1
930,6,11,9
931,42,26,9
932,21,36,2
933,41,26,5
934,89,46,9
935,76,38,1
936,42,19,11
937,37,40,3
938,24,23,7
939,41,24,9
940,79,27,3
941,54,21,11
942,75,34,3
943,24,26,1
944,4,45,11
945,59,46,3
946,91,21,5
947,86,37,5
948,32,32,6
949,55,48,1
950,51,30,2
951,45,22,8
952,70,21,10
953,39,29,5
954,19,39,10
955,85,13,11
956,60,14,12
957,42,11,2
958,93,48,1
959,46,20,7
960,63,39,10
961,17,48,12
962,73,23,12
963,23,40,5
964,85,17,4
965,85,19,2
966,62,46,11
967,76,32,1
968,55,21,3
969,81,24,11
970,25,40,10
971,63,11,8
972,41,33,11
973,36,20,3
974,4,45,9
975,15,10,8
976,6,27,11
977,71,20,3
978,88,19,7
979,53,40,5
980,21,37,5
981,6,49,9
982,74,50,7
983,32,42,8
984,71,17,10
985,69,22,4
986,80,46,5
987,18,37,5
988,25,36,7
989,38,43,10
990,17,15,2
991,46,27,7
992,17,43,1
993,91,12,4
994,84,16,8
995,38,17,1
996,70,14,8
997,27,27,12
998,6,30,12
999,88,35,5
1000,94,12,10
1001,84,21,10
1002,44,37,4
1003,19,16,2
1004,77,25,7
1005,20,36,10
1006,24,16,1
1007,82,33,6
1008,74,22,8
1009,19,46,4
1010,60,19,11
1011,89,28,1
1012,42,34,8
1013,34,43,5
1014,82,37,3
1015,11,12,9
1016,64,42,9
1017,3,16,12
1018,4,18,10
1019,93,24,1
1020,20,15,1
1021,21,10,8
1022,70,24,11
1023,79,29,3
1024,25,22,2
1025,76,19,7
1026,56,43,10
1027,63,18,9
1028,12,21,5
1029,25,26,2
1030,46,35,8
1031,84,21,5
1032,34,20,10
1033,73,20,5
1034,39,17,6
1035,52,12,12
1036,26,19,3
1037,52,49,6
1038,17,39,12
1039,96,38,9
1040,13,19,9
1041,61,44,11
1042,31,37,10
1043,46,17,4
1044,81,15,10
1045,66,50,3
1046,13,12,9
1047,91,41,12
1048,18,20,6
1049,98,38,12
1050,40,12,6
1051,65,11,2
1052,59,47,9
1053,93,49,9
1054,88,14,12
1055,82,49,8
1056,78,48,5
1057,38,44,11
1058,79,29,4
1059,13,37,4
1060,42,38,4
1061,35,26,11
1062,6,43,4
1063,73,39,3
1064,30,33,9
1065,46,45,6
1066,88,32,11
1067,98,32,6
1068,24,35,10
1069,30,16,3
1070,48,13,3
1071,74,24,2
1072,96,28,9
1073,81,17,10
1074,84,25,7
1075,16,22,12
1076,63,44,1
1077,75,44,7
1078,54,20,10
1079,25,26,4
1080,30,44,12
1081,54,17,4
1082,64,35,1
1083,46,35,3
1084,81,19,11
1085,88,48,2
1086,1,38,12
1087,30,36,3
1088,92,10,12
1089,60,38,5
1090,42,28,4
1091,31,41,8
1092,70,32,2
1093,45,47,1
1094,88,45,10
1095,74,47,8
1096,65,18,10
1097,53,33,1
1098,75,48,8
1099,70,38,3
1100,21,33,9
1101,39,30,11
1102,30,23,6
1103,55,45,2
1104,77,25,12
1105,62,45,5
1106,71,46,2
1107,12,39,2
1108,90,10,9
1109,18,19,6
1110,4,12,1
1111,7,12,3
1112,19,34,8
1113,51,46,12
1114,43,14,1
1115,60,39,2
1116,81,40,7
1117,70,23,1
1118,77,44,6
1119,11,36,4
1120,98,43,9
1121,52,15,7
1122,52,24,5
1123,58,45,3
1124,1,16,3
1125,79,12,2
1126,45,26,10
1127,96,32,12
1128,28,15,2
1129,74,19,11
1130,62,34,5
1131,67,27,5
1132,6,41,4
1133,54,47,12
1134,18,21,12
1135,14,50,11
1136,59,49,12
1137,10,48,7
1138,5,38,11
1139,91,20,6
1140,56,34,4
1141,77,35,6
1142,74,25,6
1143,14,35,3
1144,43,10,4
1145,78,41,9
1146,44,31,12
1147,42,44,7
1148,86,25,6
1149,35,33,1
1150,71,35,8
1151,44,39,1
1152,62,38,1
1153,83,29,2
1154,76,39,8
1155,12,39,5
1156,87,26,6
1157,39,50,4
1158,20,32,4
1159,4,47,9
1160,72,44,6
1161,9,36,6
1162,2,22,7
1163,68,32,7
1164,10,21,12
1165,51,27,7
1166,3,13,4
1167,82,45,8
1168,26,36,10
1169,96,50,12
1170,52,16,4
1171,74,13,2
1172,13,32,7
1173,8,32,6
1174,82,35,8
1175,6,32,12
1176,49,42,1
1177,87,23,1
1178,100,43,8
1179,80,29,2
1180,3,29,8
1181,84,37,10
1182,70,46,4
1183,59,10,10
1184,60,33,9
1185,69,38,8
1186,71,28,5
1187,8,20,5
1188,77,41,5
1189,52,46,12
1190,52,22,6
1191,91,35,2
1192,28,39,2
1193,33,14,7
1194,80,33,2
1195,60,12,12
1196,73,39,6
1197,22,32,7
1198,93,20,3
1199,24,17,10
1200,30,25,9
1201,36,27,4
1202,48,13,6
1203,50,39,11
1204,73,24,10
1205,55,26,2
1206,98,35,5
1207,63,10,11
1208,97,12,9
1209,91,36,5
1210,92,41,4
1211,97,24,6
1212,60,20,8
1213,41,27,3
1214,6,27,5
1215,74,20,11
1216,29,23,7
1217,31,25,5
1218,2,17,1
1219,43,17,8
1220,10,16,7
1221,65,36,7
1222,60,18,3
1223,65,25,6
1224,15,40,2
1225,5,28,9
1226,75,29,2
1227,62,21,1
1228,42,11,7
1229,51,25,2
1230,3,36,6
1231,80,29,6
1232,11,16,9
1233,87,40,3
1234,61,41,1
1235,26,28,5
1236,89,39,12
1237,9,23,5
1238,25,45,4
1239,6,12,1
1240,17,28,3
1241,72,37,10
1242,70,45,6
1243,35,30,7
1244,33,41,12
1245,66,28,7
1246,20,19,5
1247,10,34,6
1248,54,49,3
1249,55,20,8
1250,31,26,4
1251,15,45,4
1252,18,46,7
1253,1,36,10
1254,79,10,3
1255,22,50,5
1256,22,48,5
1257,30,13,1
1258,44,50,7
1259,43,34,11
1260,42,35,12
1261,3,38,4
1262,48,25,10
1263,36,10,5
1264,31,45,4
1265,48,26,2
1266,32,40,10
1267,8,48,1
1268,36,25,3
1269,52,47,8
1270,13,43,6
1271,5,44,4
1272,3,48,3
1273,36,13,7
1274,27,47,1
1275,18,26,2
1276,44,20,6
1277,94,42,11
1278,55,36,5
1279,17,27,4
1280,77,45,1
1281,13,43,6
1282,66,26,9
1283,92,41,2
1284,61,34,2
1285,83,29,7
1286,12,29,10
1287,10,46,4
1288,81,34,4
1289,81,25,5
1290,19,20,3
1291,17,15,12
1292,33,24,6
1293,26,50,7
1294,94,29,5
1295,5,42,6
1296,5,13,1
1297,47,11,11
1298,43,33,12
1299,40,43,2
1300,93,27,12
1301,99,25,1
1302,46,25,8
1303,41,24,2
1304,32,40,4
1305,21,22,1
1306,63,10,8
1307,62,26,8
1308,32,13,4
1309,74,20,6
1310,19,38,4
1311,2,47,10
1312,93,47,8
1313,96,29,12
1314,29,49,7
1315,35,23,7
1316,42,26,11
1317,18,38,3
1318,65,44,5
1319,9,37,5
1320,63,40,8
1321,28,16,9
1322,71,42,6
1323,75,21,11
1324,40,25,6
1325,4,14,5
1326,85,45,12
1327,99,46,5
1328,30,27,9
1329,86,18,9
1330,43,19,2
1331,3,26,5
1332,59,32,6
1333,69,13,7
1334,24,47,1
1335,87,10,10
1336,34,14,10
1337,65,22,7
1338,24,49,4
1339,9,38,10
1340,81,43,3
1341,99,33,7
1342,66,30,12
1343,69,44,8
1344,13,22,2
1345,42,31,7
1346,54,31,2
1347,10,36,9
1348,99,19,3
1349,80,36,11
1350,76,29,5
1351,38,11,7
1352,31,33,9
1353,67,19,1
1354,32,44,9
1355,38,49,3
1356,61,35,4
1357,70,13,1
1358,87,45,2
1359,59,28,10
1360,56,27,4
1361,100,48,4
1362,60,29,6
1363,19,45,12
1364,56,10,1
1365,52,38,2
1366,12,25,6
1367,32,32,6
1368,20,35,9
1369,7,38,11
1370,44,26,7
1371,67,12,8
1372,24,34,6
1373,46,47,3
1374,97,31,11
1375,53,34,12
1376,88,45,8
1377,23,42,7
1378,16,49,7
1379,74,45,12
1380,86,22,4
1381,6,48,11
1382,92,32,3
1383,21,11,3
1384,95,40,10
1385,8,43,8
1386,75,40,6
1387,7,20,7
1388,27,36,6
1389,53,34,1
1390,6,36,5
1391,96,50,1
1392,29,39,6
1393,68,11,1
1394,15,44,8
1395,42,16,3
1396,7,43,7
1397,18,23,10
1398,47,39,2
1399,4,30,9
1400,13,46,2
1401,55,15,4
1402,34,10,5
1403,59,41,9
1404,46,10,1
1405,81,36,3
1406,89,32,11
1407,65,38,11
1408,92,44,1
1409,34,23,9
1410,68,23,9
1411,22,10,3
1412,39,34,10
1413,77,31,7
1414,97,15,3
1415,63,41,5
1416,65,12,8
1417,27,43,10
1418,99,15,12
1419,39,49,12
1420,100,30,3
1421,84,31,11
1422,54,17,3
1423,19,37,6
1424,70,20,7
1425,96,29,7
1426,90,40,10
1427,56,46,12
1428,67,22,4
1429,67,42,1
1430,51,48,12
1431,90,11,2
1432,13,14,10
1433,11,46,6
1434,99,46,7
1435,11,14,11
1436,27,16,1
1437,96,14,6
1438,25,39,12
1439,8,38,2
1440,16,32,12
1441,60,30,3
1442,35,34,10
1443,82,15,1
1444,8,49,5
1445,48,32,3
1446,67,26,6
1447,11,22,6
1448,97,36,5
1449,11,23,12
1450,86,43,5
1451,6,11,11
1452,77,31,2
1453,15,33,11
1454,2,21,7
1455,21,49,6
1456,10,49,6
1457,30,14,7
1458,66,12,1
1459,81,45,10
1460,15,20,2
1461,13,49,4
1462,76,31,2
1463,99,19,11
1464,65,33,11
1465,90,13,6
1466,14,14,11
1467,41,18,12
1468,21,30,11
1469,71,46,1
1470,36,48,6
1471,31,42,2
1472,29,48,5
1473,76,30,3
1474,59,12,10
1475,88,42,10
1476,60,30,1
1477,6,26,5
1478,16,18,8
1479,12,29,2
1480,11,46,4
1481,63,29,2
1482,72,38,11
1483,46,28,3
1484,28,24,2
1485,40,17,8
1486,17,45,12
1487,94,19,12
1488,97,29,5
1489,31,12,12
1490,99,32,4
1491,58,11,6
1492,34,23,2
1493,80,45,5
1494,18,45,5
1495,17,48,10
1496,68,25,6
1497,6,31,8
1498,38,46,5
1499,38,39,2
1500,5,24,11
1501,83,45,1
1502,31,44,12
1503,75,28,3
1504,57,46,8
1505,75,48,7
1506,7,21,3
1507,21,31,5
1508,79,36,12
1509,83,47,8
1510,92,41,5
1511,54,32,4
1512,70,26,7
1513,49,12,12
1514,9,41,2
1515,72,48,10
1516,75,11,2
1517,88,48,4
1518,41,39,9
1519,56,46,5
1520,51,16,10
1521,70,30,10
1522,18,30,10
1523,98,45,3
1524,93,20,4
1525,4,36,11
1526,32,32,3
1527,93,17,1
1528,48,37,1
1529,63,14,10
1530,70,23,8
1531,40,28,11
1532,52,35,10
1533,94,11,3
1534,58,43,3
1535,47,12,4
1536,98,20,12
1537,59,19,4
1538,48,37,3
1539,80,25,10
1540,49,10,9
1541,40,19,6
1542,100,21,4
1543,28,30,10
1544,66,20,8
1545,34,45,7
1546,93,34,3
1547,10,22,12
1548,76,22,11
1549,41,32,2
1550,100,22,12
1551,52,47,4
1552,60,13,9
1553,3,34,2
1554,42,19,5
1555,2,24,3
1556,84,32,7
1557,54,29,12
1558,24,25,6
1559,28,35,3
1560,47,44,5
1561,45,43,9
1562,58,13,3
1563,72,49,3
1564,30,31,4
1565,19,39,6
1566,10,11,8
1567,16,22,5
1568,23,34,4
1569,64,16,9
1570,39,42,6
1571,49,13,12
1572,77,46,6
1573,29,33,1
1574,32,42,7
1575,22,29,11
1576,21,27,8
1577,77,19,2
1578,46,44,10
1579,97,44,2
1580,28,10,12
1581,72,42,8
1582,81,10,7
1583,82,11,10
1584,90,42,4
1585,73,33,8
1586,74,34,9
1587,30,43,8
1588,57,30,10
1589,97,49,9
1590,92,30,11
1591,79,42,4
1592,54,40,6
1593,20,15,3
1594,29,26,5
1595,61,29,10
1596,28,17,10
1597,50,46,6
1598,27,47,9
1599,49,16,10
1600,33,16,3
1601,84,32,6
1602,84,35,1
1603,59,36,5
1604,14,13,9
1605,79,36,3
1606,37,21,7
1607,42,15,6
1608,28,45,6
1609,7,37,11
1610,83,14,4
1611,56,34,8
1612,41,41,2
1613,72,20,8
1614,11,19,11
1615,43,45,9
1616,76,14,2
1617,65,20,9
1618,71,46,1
1619,9,21,11
1620,81,42,1
1621,40,42,1
1622,90,16,1
1623,79,33,6
1624,98,39,1
1625,89,25,8
1626,96,34,12
1627,15,49,10
1628,94,20,11
1629,61,13,9
1630,29,20,11
1631,94,32,12
1632,47,37,9
1633,41,46,12
1634,86,25,9
1635,64,11,5
1636,92,11,8
1637,19,12,5
1638,35,11,9
1639,19,48,8
1640,11,27,5
1641,78,16,3
1642,23,47,9
1643,54,20,1
1644,73,12,5
1645,78,50,12
1646,56,23,6
1647,18,39,7
1648,95,15,1
1649,36,49,4
1650,49,24,9
1651,77,11,4
1652,64,39,5
1653,19,14,1
1654,81,15,6
1655,71,28,6
1656,66,22,8
1657,75,30,6
1658,18,40,4
1659,33,22,10
1660,46,18,3
1661,6,19,4
1662,46,47,7
1663,14,34,10
